year,event_type,interaction,province,location,source,notes,tags,longitude,latitude
2020,Peaceful protest,Protesters only,Friesland,Leeuwarden,Leeuwarder Courant,"On 17 January 2020, a group of judicial interpreters staged a protest at the judicial court in Leeuwarden against the cuts in their wages and the danger this entails for the quality of their service.",crowd size=no report,5.7925,53.1929
2020,Peaceful protest,Protesters only,Utrecht,Utrecht,AD; RTV Utrecht,"On 18 January 2020, several tenfold of people from Kurdish descent staged a protest on the Jaarbeursplein in Utrecht (Utrecht) to convince visitors of the local holiday fair to not go to Turkey. The protest was organized by the action group Boycott Turkey.",crowd size=several tenfold,5.1128,52.0871
2020,Peaceful protest,Protesters only,Overijssel,Diepenheim,RTV Oost,"On 19 January 2020, around 50 farmers staged a welcoming protest in Diepenheim for a D66-politician, in the context of severe tensions between the Cabinet and farmers regarding nitrogen regulations.",crowd size=around 50,6.5551,52.1992
2020,Peaceful protest,Protesters only,Noord-Holland,Wieringerwerf,Noordhollands Dagblad,"On 20 January 2020, at least 20 farmers staged a protest in Wieringerwerf against the municipal plans for the Wieringermeer.",crowd size=at least 20,5.0242,52.8506
2020,Peaceful protest,Protesters only,Zuid-Holland,Den Haag,Hart van Nederland,"On 22 January 2020, an unknown number of people staged a protest at the Ministry of Public Health in Den Haag against the imminent closing of youth care institution De Hoenderloo Groep and to denounce the long waiting lists in the sector.",crowd size=no report,4.3128,52.0795
2020,Peaceful protest,Protesters only,Zuid-Holland,Alphen aan den Rijn,FNV,"On 23 January 2020, an unknown number of workers staged a protest in front of the Technische Unie facility in Alphen aan den Rijn to demand higher wages. The FNV chairwoman attended the gathering.",crowd size=no report,4.6558,52.1314
2020,Peaceful protest,Protesters only,Noord-Brabant,Tilburg,De Telegraaf,"On 23 January 2020, an unknown number of workers staged a Federation of Dutch Trade Unions protest in Tilburg to demand a wage increase in the technical wholesale sector.",crowd size=no report,5.1266,51.5523
2020,Peaceful protest,Protesters only,Noord-Brabant,Den Bosch,AD,"On 23 January 2020, about 30 activists affiliated with Animal Save Movement protested in front of a slaughterhouse in Den Bosch (Noord-Brabant), against the killing of animals for human consumption.",crowd size=about 30,5.3064,51.6879
2020,Peaceful protest,Protesters only,Noord-Brabant,Bergen op Zoom,AD,"On 23 January 2020, dozens of employees of a petrochemical company protested in Bergen op Zoom (Noord-Brabant), to demand higher wages and better working conditions. The protest was organized by the labor union FNV.",crowd size=dozens,4.2881,51.4951
2020,Peaceful protest,Protesters only,Gelderland,Nijmegen,AD,"On 24 January 2020, over 100 people protested in Nijmegen (Gelderland), against the closure of a youth care facility. Among the protesters were members of the labor union FNV and teachers who taught at the youth care facility.",crowd size=over 100,5.8528,51.8425
2020,Peaceful protest,Protesters only,Noord-Holland,Amsterdam,Physicians for Safe Technology,"On 25 January 2020, demonstrators gathered in Amsterdam to oppose the introduction of 5G network technology and its perceived radiation effects on environment and human health. The protest was a part of the worldwide demonstration campaign against the use of 5G networks held on 25 January 2020.",crowd size=no report,4.8985,52.371
2020,Peaceful protest,Protesters only,Noord-Holland,Amsterdam,AD; Iran Freedom,"On 25 January 2020, an unknown number of Dutch Iranian diaspora members protested in Amsterdam, to demand a regime change in Iran and the end of the Islamic Republic in Iran.",crowd size=no report,4.8985,52.371
2020,Peaceful protest,Protesters only,Utrecht,Utrecht,FNV,"On 27 January 2020, at the call of FNV, a few hundred workers staged a protest at the Federation of Dutch Trade Unions Headquarters in Utrecht to demand a wage increase in the technical wholesale sector.",crowd size=a few hundred,5.1128,52.0871
2020,Peaceful protest,Protesters only,Noord-Holland,Amsterdam,ND - Nederlands Dagblad,"On 27 January 2020, around 100 people staged a protest on the Dam in Amsterdam against the coming of 5G network.",crowd size=around 100,4.8985,52.371
2020,Peaceful protest,Protesters only,Zuid-Holland,Rotterdam,Het Nieuwsblad,"On 28 January 2020, an unkown number of people from the NIDA Party staged a protest in Rotterdam by attaching a Palestinian flag and scarf to a statue in front of the city hall, where a delegation of the Israeli city Tel Aviv was handing over the keys to the Eurovision Song Festival to the municipal authorities.",crowd size=no report,4.4604,51.9214
2020,Peaceful protest,Protesters only,Gelderland,Varsseveld,112 Achterhoek-Nieuws,"On 30 January 2020, around 20 farmers staged a flashmob protest action at the N18 highway at Varsseveld to put pressure on the negotiations between the Cabinet and the farmer organizations on 5 February.",crowd size=around 20,6.4644,51.9433
2020,Peaceful protest,Protesters only,Gelderland,Lichtenvoorde,112 Achterhoek-Nieuws,"On 30 January 2020, an unknown number of farmers staged a flashmob protest action at the N18 highway at Lichtenvoorde to put pressure on the negotiations between the Cabinet and the farmer organizations on 5 February.",crowd size=no report,6.5719,51.9881
2020,Peaceful protest,Protesters only,Gelderland,Oud-Dijk,112 Achterhoek-Nieuws,"On 30 January 2020, an unknown number of farmers staged a flashmob protest action at the N18 highway at Oud-Dijk to put pressure on the negotiations between the Cabinet and the farmer organizations on 5 February.",crowd size=no report,6.1364,51.9255
2020,Peaceful protest,Protesters only,Gelderland,Terschuur,112 Vallei,"On 30 January 2020, tenfolds of farmers staged a flashmob protest action along the A1 highway in Terschuur to put pressure on the negotiations between the Cabinet and the farmer organizations on 5 February.",crowd size=tenfolds,5.5194,52.1653
2020,Peaceful protest,Protesters only,Groningen,Groningen,Dagblad Van Het Noorden,"On 30 January 2020, around 4000 teachers staged a silent protest march in Groningen to lament the lack of structural support from the government for the educational sector.",crowd size=around 4000,6.5667,53.2192
2020,Peaceful protest,Protesters only,Noord-Holland,Amsterdam,Blik Op Nieuws,"On 30 January 2020, thousands of teachers staged a protest on the Dam in Amsterdam to lament the lack of structural support from the government for the educational sector.",crowd size=thousands,4.8985,52.371
2020,Peaceful protest,Protesters only,Zeeland,Middelburg,Omroep Zeeland,"On 30 January 2020, hundreds of teachers staged a protest march in Middelburg to lament the lack of structural support from the government for the educational sector. The march was organized by teachers labor union AOB.",crowd size=hundreds,3.6148,51.4991
2020,Peaceful protest,Protesters only,Limburg,Maastricht,ND - Nederlands Dagblad,"On 30 January 2020, an unknown number of teachers staged a protest in Maastricht to lament the lack of structural support from the government for the educational sector.",crowd size=no report,5.6889,50.8483
2020,Peaceful protest,Protesters only,Drenthe,Bovensmilde,Dagblad Van Het Noorden,"On 30 January 2020, tenfolds of people teachers staged a loud protest in Bovensmilde to lament the lack of structural support from the government for the educational sector.",crowd size=tenfolds,6.4816,52.9752
2020,Peaceful protest,Protesters only,Gelderland,Zutphen,Omroep Gelderland,"On 30 January 2020, around 1000 of teachers staged a protest march in Zutphen to lament the lack of structural support from the government for the educational sector.",crowd size=around 1000,6.2045,52.1436
2020,Peaceful protest,Protesters only,Friesland,Makkum,Omrop Fryslan,"On 30 January 2020, an unknown number of teachers and pupils staged a protest in Makkum to lament the lack of structural support from the government for the educational sector.",crowd size=no report,5.4053,53.057
2020,Peaceful protest,Protesters only,Noord-Holland,Zaandam,Noordhollands Dagblad,"On 30 January 2020, more than 60 people staged a protest action in the city hall of Zaanstad against municipal measures for traffic optimalization in Westerkoog.",crowd size=more than 60,4.8292,52.4428
2020,Peaceful protest,Protesters only,Zuid-Holland,Rotterdam,AD; RTV Rijnmond,"On 30 January 2020, around 7,000 teachers staged a protest in De Kuip in Rotterdam to lament the lack of structural support from the government for the educational sector. MP and leader of the Socialist Party Lilian Marijnissen participated in the protest.","crowd size=around 7,000",4.4604,51.9214
2020,Peaceful protest,Protesters only,Noord-Brabant,Oosterhout,AD,"On 30 January 2020, about 100 school teachers held a protest march in Oosterhout (Noord-Brabant), to demand better working conditions in the educational sector. The protest took place in the context of a nation-wide strike in the educational sector.",crowd size=about 100,4.8608,51.6432
2020,Peaceful protest,Protesters only,Overijssel,Enschede,AD,"On 30 January 2020, over 100 teachers and other staff of primary and secondary schools held a protest march in Enschede (Overijssel), to demand a structural increase in government funds for the educational sector. The protest took place in the context of a nation-wide strike in the educational sector.",crowd size=over 100,6.8958,52.2183
2020,Peaceful protest,Protesters only,Noord-Brabant,Eindhoven,AD,"On 30 January 2020, an unknown number of children and their teachers protested in Eindhoven (Noord-Brabant), to demand better working conditions in the educational sector. The protest took place in the context of a nation-wide strike in the educational sector.",crowd size=no report,5.4814,51.445
2020,Peaceful protest,Protesters only,Noord-Brabant,Veldhoven,AD,"On 30 January 2020, an unknown number of children and their teachers held a protest march in Veldhoven (Noord-Brabant), to demand better working conditions in the educational sector. The protest took place in the context of a nation-wide strike in the educational sector.",crowd size=no report,5.407,51.4166
2020,Peaceful protest,Protesters only,Zuid-Holland,Den Haag,Westonline,"On 30 January 2020, an unknown number of teachers staged a protest in at the Ministry of Education on the Lange Voorhout Den Haag to lament the lack of structural support from the government for the educational sector. The protest was organized by AOB and Leraren In Actie.",crowd size=no report,4.3128,52.0795
2020,Peaceful protest,Protesters only,Utrecht,Bunschoten,AD,"On 30 January 2020, an unknown number of farmers staged a protest action along the A1 highway in Bunschoten (Utrecht) to put pressure on the negotiations between the Cabinet and the farmer organizations on 5 February.",crowd size=no report,5.374,52.2446
2020,Peaceful protest,Protesters only,Utrecht,Eembrugge,AD,"On 30 January 2020, an unknown number of farmers staged a protest action along the A1highway in Eembrugge (Utrecht) to put pressure on the negotiations between the Cabinet and the farmer organizations on 5 February.",crowd size=no report,5.3109,52.2263
2020,Peaceful protest,Protesters only,Utrecht,Eemnes,AD,"On 30 January 2020, an unknown number of farmers staged a flashmob protest action along the A1highway in Eemnes (Utrecht) to put pressure on the negotiations between the Cabinet and the farmer organizations on 5 February.",crowd size=no report,5.2604,52.2522
2020,Peaceful protest,Protesters only,Noord-Brabant,Tilburg,AD,"On 30 January 2020, around 1200 teachers staged a protest march to the Willem II stadion in Tilburg (Noord-Brabant) to demand more resources for teachers from the government and a solution for the persistent teacher shortage.","crowd size=around 1,200",5.1266,51.5523
2020,Peaceful protest,Protesters only,Gelderland,Terschuur,112 Vallei,"On 31 January 2020, tenfolds of farmers staged a protest action along the A1 highway in Terschuur.",crowd size=tenfolds,5.5194,52.1653
2020,Peaceful protest,Protesters only,Gelderland,Stroe,112 Vallei,"On 31 January 2020, tenfolds of farmers staged a protest action along the A1 highway in Stroe.",crowd size=tenfolds,5.6923,52.1857
2020,Peaceful protest,Protesters only,Noord-Holland,Hoorn,Noordhollands Dagblad,"On 31 January 2020, an unknown number of pupils, teachers and parents staged a protest march in Bangert en Oosterpolder, Hoorn, against the imminent teacher shortage.",crowd size=no report,5.0597,52.6425
2020,Peaceful protest,Protesters only,Noord-Holland,Zaandam,Noordhollands Dagblad,"On 31 January 2020, an unknown number of teachers, parents and pupils staged a protest in Zaandam to lament the lack of structural support from the government for the educational sector.",crowd size=no report,4.8292,52.4428
2020,Peaceful protest,Protesters only,Noord-Brabant,Den Bosch,ND - Nederlands Dagblad,"On 31 January 2020, around 3000 teachers staged a protest in Den Bosch to lament the lack of structural support from the government for the educational sector.",crowd size=around 3000,5.3064,51.6879
2020,Peaceful protest,Protesters only,Zuid-Holland,Dordrecht,AD,"On 31 January 2020, more than 100 teachers staged a protest march in Dordrecht (Zuid-Holland), to demand higher wages and better working conditions in the educational sector.",crowd size=more than 100,4.6781,51.7963
2020,Protest with intervention,State forces-Protesters,Zuid-Holland,Den Haag,ND - Nederlands Dagblad,"On 31 January 2020, around 30 activists from Extinction Rebellion staged a protest at the Shell headquarters in Den Haag. Police forces intervened and arrested all the portesters.",crowd size=around 30,4.3128,52.0795
2020,Peaceful protest,Protesters only,Zuid-Holland,Den Haag,De Telegraaf,"On 31 January 2020, a dozen students staged a protest in the Binnenhof in Den Haag to lament the lack of structural support from the government for the educational sector. They were stopped by a police officer.",crowd size=a dozen,4.3128,52.0795
2020,Peaceful protest,Protesters only,Noord-Brabant,Helmond,AD,"On 31 January 2020, an unknown number of teachers staged a protest march in Helmond (Noord-Brabant), to demand better working conditions in the educational sector.",crowd size=no report,5.6552,51.4784
2020,Peaceful protest,Protesters only,Noord-Holland,Haarlem,Haarlems Dagblad,"On 1 February 2020, more than 100 people staged a protest march in Haarlem against the lack of urgent government action on climate change. The protest was attended by Extinction Rebellion, Fridays For Future Haarlem and Milieudefensie Haarlem.",crowd size=more than 100,4.6376,52.3869
2020,Protest with intervention,State forces-Protesters,Zuid-Holland,Den Haag,Regio15,"On 1 February 2020, an unknown number of Yellow Vests staged a protest in front of the Binnenhof in Den Haag. When the protesters wanted to enter the Binnenhof, police forces intervened.",crowd size=no report,4.3128,52.0795
2020,Peaceful protest,Protesters only,Zuid-Holland,Den Haag,Extinction Rebellion,"On 2 February 2020, an unknown number of activists of Extinction Rebellion staged a protest in front of the police headquarters in Den Haag to demand the liberation of a fellow activist who was detained during an action earlier that week.",crowd size=no report,4.3128,52.0795
2020,Peaceful protest,Protesters only,Limburg,Roermond,De Limburger,"On 3 February 2020, 8 activists of Extinction Rebellion staged a die-in protest action on the Markt in Roermond to raise awareness for the climate crisis.",crowd size=8,5.9972,51.1928
2020,Peaceful protest,Protesters only,Noord-Holland,Amsterdam,AT 5,"On 3 February 2020, an unknown number of Extinction Rebellion activists staged a die-in protest action in front of the Stopera in Amsterdam to raise awareness for climate crisis.",crowd size=no report,4.8985,52.371
2020,Peaceful protest,Protesters only,Zuid-Holland,Den Haag,AD,"On 3 February 2020, about 12 Extinction Rebellion activists held a 'die-in' protest in Den Haag (Zuid-Holland), to demand more attention for climate change.",crowd size=about 12,4.3128,52.0795
2020,Peaceful protest,Protesters only,Overijssel,Deventer,AD,"On 3 February 2020, about 30 Extinction Rebellion activists held a 'die-in' protest in Deventer (Zuid-Holland), to demand more attention for climate change.",crowd size=about 30,6.1596,52.2524
2020,Peaceful protest,Protesters only,Friesland,Leeuwarden,AD,"On 3 February 2020, a dozen Extinction Rebellion activists held a 'die-in' protest in Leeuwarden (Friesland), to demand more attention for climate change.",crowd size=a dozen,5.7925,53.1929
2020,Peaceful protest,Protesters only,Gelderland,Klarenbeek,AD,"On 3 February 2020, about 100 farmers blocked a viaduct in Klarenbeek (Gelderland), to protest against the Dutch government's plans to reduce nitrogen emissions.",crowd size=about 100,6.0612,52.1662
2020,Peaceful protest,Protesters only,Gelderland,Apeldoorn,Omroep Gelderland,"On 4 February 2020, tenfolds of farmers staged a protest action along a highway in Apeldoorn to put pressure on the negotiations between the Dutch government and farmer organisations over the nitrogen regulations. Flags of the Farmers Defence Force were reported.",crowd size=tenfolds,5.9635,52.2143
2020,Peaceful protest,Protesters only,Gelderland,Arnhem,Omroep Gelderland,"On 4 February 2020, a tenfold of farmers staged a protest action along the Pleijroute in Arnhem to put pressure on the negotiations between the Dutch government and farmer organisations over the nitrogen regulations.",crowd size=a tenfold,5.9149,51.9815
2020,Peaceful protest,Protesters only,Gelderland,Winterswijk,Omroep Gelderland,"On 4 February 2020, a big number of farmers staged a protest action on the 318 highway in Winterswijk to put pressure on the negotiations between the Dutch government and farmer organisations over the nitrogen regulations.",crowd size=a big number,6.719,51.9701
2020,Peaceful protest,Protesters only,Gelderland,Ruurlo,Omroep Gelderland,"On 4 February 2020, an unknown number of farmers staged a protest action in Ruurlo to put pressure on the negotiations between the Dutch government and farmer organisations over the nitrogen regulations.",crowd size=no report,6.4494,52.0877
2020,Peaceful protest,Protesters only,Noord-Brabant,Tilburg,Omroep Brabant,"On 4 February 2020, a number of farmers staged a protest at the A58 highway in Tilburg to put pressure on the negotiations between the Dutch government and farmer organisations over the nitrogen regulations.",crowd size=a number,5.1266,51.5523
2020,Peaceful protest,Protesters only,Groningen,Marum,112 Groningen,"On 4 February 2020, an unknown number of farmers staged a protest action along the A7 highway in Marum to put pressure on the negotiations between the Dutch government and farmer organisations over the nitrogen regulations.",crowd size=no report,6.2646,53.1436
2020,Peaceful protest,Protesters only,Friesland,Zurich,Dagblad Van Het Noorden,"On 4 February 2020, 10 farmers staged a protest action in Zurich to put pressure on the negotiations between the Dutch government and farmer organisations over the nitrogen regulations. Police forces intervened when they wanted to drive on the Afsluitdijk.",crowd size=10,5.3874,53.1051
2020,Peaceful protest,Protesters only,Overijssel,Enschede,RTV Oost,"On 4 February 2020, 15 farmers staged a protest action on a bridge over the N35 highway in Enschede to put pressure on the negotiations between the Dutch government and farmer organisations over the nitrogen regulations.",crowd size=15,6.8958,52.2183
2020,Peaceful protest,Protesters only,Zuid-Holland,Den Haag,Westonline,"On 4 February 2020, an unknown number of fireworks dealers staged a protest on the Malieveld in Den Haag against the imminent fireworks ban.",crowd size=no report,4.3128,52.0795
2020,Peaceful protest,Protesters only,Gelderland,Nijmegen,AD,"On 4 February 2020, a handful of people protested in Nijmegen (Gelderland), against the construction of a large parking lot in their neighborhood.",crowd size=a handful,5.8528,51.8425
2020,Violent demonstration,Rioters only,Noord-Holland,Amsterdam,AT 5,"On 5 February 2020, tenfolds of Uber drivers staged a rally in front of the Uber headquarters in Amsterdam. During the demonstration, the building was vandalized and smoke bombs were thrown.",crowd size=tenfolds,4.8985,52.371
2020,Peaceful protest,Protesters only,Zuid-Holland,Den Haag,AD,"On 5 February 2020, 20 farmers protested in Den Haag (Zuid-Holland), against the Dutch government's plans to reduce nitrogen emissions and the impact of these plans on the agricultural industry.",crowd size=20,4.3128,52.0795
2020,Peaceful protest,Protesters only,Utrecht,IJsselstein,AD,"On 6 February 2020, 25 activists protested in front of a slaughterhouse in IJsselstein (Utrecht), against the animal abuses recorded in the slaughterhouse and to demand the slaughterhouse's immediate closure. The protest was organized by Direct Action Everywhere and attended by members of the Animal Party.",crowd size=25,5.0465,52.0246
2020,Peaceful protest,Protesters only,Zuid-Holland,Den Haag,AD,"On 7 February 2020, about 1,000 people affiliated with Youth for Climate protested in Den Haag (Zuid-Holland), to demand that the Dutch government take action to combat climate change.","crowd size=about 1,000",4.3128,52.0795
2020,Peaceful protest,Protesters only,Gelderland,Doetinchem,AD,"On 8 February 2020, an unknown number of people protested in Doetinchem (Gelderland), against the removal of a road crossing for pedestrians and cyclists. The protest was organized by the civil society groups De Billekletsers and Actiecomite De Hoop-Dichteren.",crowd size=no report,6.2893,51.9658
2020,Peaceful protest,Protesters only,Noord-Holland,Amsterdam,AT 5,"On 11 February 2020, around 30 people staged a protest in front of the Subway headquarters at the Prinsengracht in Amsterdam against the use of mistreated chickens in their menu. The protesters were in the company of big inflatable chickens.",crowd size=around 30,4.8985,52.371
2020,Peaceful protest,Protesters only,Gelderland,Arnhem,Omroep Gelderland,"On 12 February 2020, an unknown number of Socialist Party activists staged a protest action in Arnhem against the dumping of granulite in Dreumel.",crowd size=no report,5.9149,51.9815
2020,Peaceful protest,Protesters only,Flevoland,Lelystad,AD,"On 13 February 2020, a small group of people protested in front of the house of a pedophile activist in Lelystad (Flevoland), against statements by the latter in a television broadcast that sex with children should be legalized.",crowd size=a small group,5.4794,52.5129
2020,Peaceful protest,Protesters only,Zuid-Holland,Den Haag,De Limburger,"On 15 February 2020, tenfolds of people staged a protest in Den Haag against the bourka ban that was installed half a year earlier. The protest was organized by Hand in Hand Tegen het Niqabverbod.",crowd size=tenfolds,4.3128,52.0795
2020,Peaceful protest,Protesters only,Gelderland,Nijmegen,Omroep Gelderland,"On 15 February 2020, 9 GroenLinks party members staged a protest march in Nijmegen to urge shop owners to close their doors during winter to decrease energy consumption.",crowd size=9,5.8528,51.8425
2020,Peaceful protest,Protesters only,Zuid-Holland,Den Haag,Westonline,"On 18 February 2020, tenfolds of farmers staged a protest action in front of the Binnenhof in Den Haag on the eve of a big farmer protest against the nitrogen regulations of the Dutch government.",crowd size=tenfolds,4.3128,52.0795
2020,Peaceful protest,Protesters only,Noord-Holland,Amsterdam,AT 5,"On 19 February 2020, around 100 Uber drivers staged a protest in front of the Uber headquarters in Amsterdam to demand a higher average income.",crowd size=around 100,4.8985,52.371
2020,Protest with intervention,State forces-Protesters,Zuid-Holland,Den Haag,AD; De Telegraaf; Dutch Police,"On 19 February 2020, several thousand farmers, construction workers, and fishers staged a protest on the Koekamp in Den Haag (Zuid-Holland) against the nitrogen regulations of the Dutch government. The protest was organized by the Farmers Defence Force and members of CDA and the leader of Forum voor Democratie were present. Army trucks were present to block the roads to the city center for tractor pullers. When a group of farmers wanted to relocate to the Ministry of Agriculture, police forces intervened with certain demonstrators accused of dangerous truck driving, causing four arrests.",crowd size=several thousand,4.3128,52.0795
2020,Peaceful protest,Protesters only,Noord-Holland,Zandvoort,Haarlems Dagblad,"On 25 February 2020, a number of Extinction Rebellion activists staged a protest in the council hall of Zandvoort against the municipal decision to allow the F1 race trajectory over the Noordvoort beach in Noordwijk.",crowd size=a number,4.5301,52.3721
2020,Peaceful protest,Protesters only,Utrecht,Amersfoort,AD,"On 28 February 2020, about 50 activists affiliated with Animal Rights protested in Amersfoort (Utrecht), against the killing by drowning of muskrats. Muskrats are killed by water management authorities because of the damage they cause to dykes.",crowd size=about 50,5.3888,52.1565
2020,Peaceful protest,Protesters only,Groningen,Groningen,RTV Noord,"On 29 February 2020, a few people staged a protest in Groningen against the lack of affordable housing in the city.",crowd size=a few,6.5667,53.2192
2020,Peaceful protest,Protesters only,Utrecht,Utrecht,AD; RTV Noord,"On 29 February 2020, about 25 students staged a protest in Utrecht against the lack of affordable housing in the city. The protest was organized by Jonge Socialisten, the youth organization of the PvdA.",crowd size=about 25,5.1128,52.0871
2020,Peaceful protest,Protesters only,Utrecht,Utrecht,AD; RTV Utrecht,"On 29 February 2020, about 1,000 people from the action group Utrechtse Klimaatcoalitie staged a protest march in Utrecht (Utrecht) to demand more attention for climate change. Among the protesters were members of Extinction Rebellion, Code Rood, the political parties GL and PvdD, and the action groups Grandparents for Climate and Amelisweerd Niet Geasfalteerd.","crowd size=about 1,000",5.1128,52.0871
2020,Protest with intervention,State forces-Protesters,Limburg,Maastricht,De Limburger,"On 1 March 2020, four activists from Identitair Verzet staged a protest action in Maastricht by climbing on a future asylum center to plant their flag and a banner stating their disapproval to use the building as asylum facility. Police forces intervened and arrested the protesters.",crowd size=4,5.6889,50.8483
2020,Peaceful protest,Protesters only,Gelderland,Heerewaarden,AD; Omroep Gelderland,"On 2 March 2020, about 31 people staged a protest action in Heerewaarden (Gelderland) against the dumping of granulite near Dreumel, by blocking dumping ships with little boats on the Maas river. The action was an initiative of SP. Among the protesters was an MP for the SP. Protesters feared the health and environment effects of the granulite dumping.",crowd size=about 31,5.39,51.817
